Ablation Area:  The area of a glacier where more glacier mass is lost than gained 
Constructive Metamorphism:  Snow metamorphism that adds molecules to sharpen the corners and edges of an ice crystal 
Continental Glacier: A glacier that covers much of a continent or large island  
Corrie:  A hollow containing a small glacier that is armchair shaped  
Cordilleran Ice Sheet: The ice cap that covered much of the mountains in the northwestern part of North America during the Pleistocene Epoch.  
Crag and Tail: Rocky hill followed by a tale of till 
Crayocinite: Depression in a glacier formed when a rock on the surface is heated and melts the surrounding snow. 
Crevasse:  Open fissure in the glacier surface 
Crevasse Hoar:  A kind of hoarfrost; ice crystals that develop by sublimation in glacial crevasses and in other cavities with cooled space and calm, still conditions under which water vapor can accumulate; physical origin is similar to depth hoar 
Cwm: same thing as a cirque.
Dead Ice:  Any part of a glacier which has ceased to flow; dead ice is usually covered with moraine 
Diamicton:  Diamicton is a general term used to describe a non-sorted or poorly sorted, sometimes non-calcareous, terrigenous or marine sediment containing a wide range of particle sizes derived from a broad provenance  
De geer moraine:  underwater moraine; parallel ridges like ripple marks. Only a few 100 ft apart. 
Dirt Cone:  A cone-shaped formation of ice that is covered by dirt; a dirt cone is caused by a differential pattern of ablation between the dirt-covered surface and bare ice 
Drain Channel:  Preferred path for meltwater to flow from the surface through a snow cover 
Drift:  Any material carried and deposited by a glacier.
Drift Glacier:  A semi-permanent mass of firn formed by drifted snow behind obstructions or in the ground; also called a catchment glacier or a snowdrift glacier 
Dropstone:  A rock that was carried elsewhere by a glacier or iceberg and deposited when the ice melts, the rock sinks to the bottom of the body of water and becomes part of a sedimentary rock. 
Drumlin:  Remnant elongated hills formed by historical glacial action; it is not clear exactly how they are formed and why they form only in some glaciated regions 
Dry Bottom Glacier:  A glacier so cold that its base remains frozen to the substrate, also called a polar glacier. Occur in regions where atmospheric temperatures stay so cold all year long that the glacial ice remains below melting. Mars also has polar glaciers.  
Dump Moraine:  A mound or layer of moraine formed along the edge of a glacier by rocks that fall off the ice; sometimes called a ground moraine 
End Moraine:  An arch-shaped ridge of moraine found near the end of a glacier 
Equilibrium Line: the boundary between the zone of accumulation and the zone of ablation 
Equilibrium Zone:  Zone of a glacier in which the amount of precipitation that falls is equal to the amount that melts the following summer 
Esker:  A sinuous ridge of sedimentary material (typically gravel or sand) deposited by streams that cut channels under or through the glacier ice 
Erratics:  Large pieces of rock that have been transported away from their source areas by moving glacier sheets  
Extending flow:  when glacier motion is accelerating down-slope 
False ogives:  bands of light and dark on a glacier that were formed by rock avalanching 
Fjord:  glacial troughs that fill with seawater 
Foliation:  layering in glacier ice that has distinctive crystal sizes and/or bubbles; foliation is usually caused by stress and deformation that a glacier experiences as it flows over complex terrain, but can also originate as a sedimentary feature 
Forbes bands:  alternate bands of light and dark on a glacier; usually found below steep narrow icefalls and thought to be the result of different flow and ablation rates between summer and winter 
Forel stripes:  shallow, parallel grooves on the face of a large melting ice crystal  
Geyser:  Fountain that develops when water from a conduit is forced up to the surface of a glacier; also called a negative mill 
Glacial advance:  when a mountain glacier's terminus extends farther downvalley than before; occurs when a glacier flows downvalley faster than the rate of ablation at its terminus 
Glacial Erratic:  a boulder swept from its place of origin by glacier advance or retreat and deposited elsewhere as the glacier melted; after glacial melt, the boulder might be stranded in a field or forest where no other rocks of its type or size exist 
Glacial Formation:  1)Loose snow (90\% air), 2) granular snow (50\% air), 3) firn (25\% air), 4) fine-grained ice (<20\% air), 5) coarse grained ice (<20\% air)  
Glacial grooves:  grooves or gouges cut into the bedrock by gravel and rocks carried by glacial ice and meltwater; also called glacial striations 
Glacial Incorporation:  A form of glacial erosion where the ice surrounds debris so the debris starts to move with the ice.  
Glacial Rebound:  The process by which the surface of a continent rises back up after an overlying continental ice sheet melts away and the weight of the ice is removed. Takes thousands of years  
Glacial retreat:  when the position of a mountain glacier's terminus is farther upvalley than before; occurs when a glacier ablates more material at its terminus than it transports into that region 
Glacial striations:  grooves or gouges cut into the bedrock by gravel and rocks carried by glacial ice and meltwater; also called glacial grooves 
Glacial Subsidence:  The sinking of the surface of a continent caused by the weight of an overlying glacial ice sheet.  
Glacial till:  accumulations of unsorted, unstratified mixtures of clay, silt, sand, gravel, and boulders; the usual composition of a moraine 
Glacial Toe:  The leading edge or margin of a glacier  
Glacial trough:  a large u-shaped valley formed from a v-shaped valley by glacial erosion 
Glaciated:  land covered in the past by any form of glacier is said to be glaciated 
Glacial Polished Surface:  A polished rock surface created by the glacial abrasion of the underlying substrate.  
Glacier:  a mass of ice that originates on land, usually having an area larger than one-tenth of a square kilometer; many believe that a glacier must show some type of movement; others believe that a glacier can show evidence of past or present movement 
Glacier cave:  a cave of ice, usually underneath a glacier and formed by meltwater; cave entrances are often enlarged near a glacier terminus by warm winds; most common on stagnant portions of glaciers 
Glacier fire:  a phenomenon in which strong reflection of the sun on an icy surface causes a glacier to look like it is on fire 
Glacier flood:  a sudden outburst of water released by a glacier 
Glacier flour:  a fine powder of silt- and clay-sized particles that a glacier creates as its rock-laden ice scrapes over bedrock; usually flushed out in meltwater streams and causes water to look powdery gray; lakes and oceans that fill with glacier flour may develop a banded appearance; also called rock flour 
Glacier ice:  well-bonded ice crystals compacted from snow with a bulk density greater than 860 kilograms per cubic meter (55 pounds per cubic-foot) 
Glacier mill:  a nearly vertical channel in ice that is formed by flowing water; usually found after a relatively flat section of glacier in a region of transverse crevasses 
Glacier Milk:  Flour that has been mixed with water to create milky appearance. 
Glacier pothole:  potholes formed at the bottom of glaciers through erosion caused by sand and gravel in melt-water; melt-water seeps through crevasses in the glaciers, sometimes forming whirlpools; at the bottom of the glacier, the water is under very high pressure, leading to erosion of underlying rocks 
Glacier remainie:  a glacier that is reconstructed or reconstituted out of other glacier material; usually formed by seracs falling from a hanging glacier, then re-adhering; also called reconstituted, reconstructed or regenerated glacier 
Glacier snout:  the lowest end of a glacier; also called glacier terminus or toe 
Glacier sole:  the bottom of the ice of a glacier 
Glacier table:  a rock that resides on a pedestal of ice; formed by differential ablation between the rock-covered ice and surrounding bare ice 
Glacier terminus:  the lowest end of a glacier; also called glacier snout or toe 
Glacier toe:  the lowest end of a glacier; also called glacier snout or terminus
Glacier trough:  u-shaped valleys transformed from v-shaped stream valleys due to erosion caused by passing glaciers 
Glacieret:  a very small glacier 
Glacierized:  land overlaid at present by a glacier is said to be covered; the alternative term glacierized has not found general favour 
Ground moraine:  continuous layer of till near the edge or underneath a steadily retreating glacier 
Grooves:  larger striations, created when larger rocks scape bedrock beneath a glacier  
Halocene:  10,000 years ago-present day
Hanging glacier:  a glacier that terminates at or near the top of a cliff 
Hanging valley:  a valley formed by a small glacier that has a valley bottom relatively higher than nearby valleys formed by larger glaciers 
Headwall:  a steep cliff, usually the uppermost part of a cirque 
Horn:  a peak or pinnacle thinned and eroded by three or more glacial cirques 
Hoarfrost: a deposit of interlocking ice crystals (hoar crystals) formed by direct sublimation on objects, usually those of small diameter freely exposed to the air, such as tree branches, plant stems and leaf edges, wires, poles, etc.; the surfaces of these objects are sufficiently cooled, mostly by nocturnal radiation, to cause the direct sublimation of the water vapor contained in the ambient air.
Hummock Small area of raised ground which is formed as a glacier slowly retreats, leaving behind ground moraine.  
Ice apron:  a mass of ice adhering to a mountainside 
Ice cap:  a dome-shaped mass of glacier ice that spreads out in all directions; an ice cap is usually larger than an icefield but less than 50,000 square kilometers (12 million acres) 
Ice Cap Glacier:  Mounds of ice that submerge peaks and ridges at the crest of a mountain range  
Ice cave:  a cave of ice, usually underneath a glacier and formed by meltwater; cave entrances are often enlarged near a glacier terminus by warm winds; most common on stagnant portions of glaciers 
Ice covered:  land overlaid at present by a glacier is said to be covered; the alternative term glacierized has not found general favor 
Ice divide:  the boundary separating opposing flow directions of ice on a glacier or ice sheet 
Ice Dome:  ice surface with parabolic surface; located in accumulation zone   
Ice quake:  a shaking of ice caused by crevasse formation or jerky motion 
Ice rise:  when ice gets on top of rock in the seabed, these happen to ice shelves, they are usually dome shaped  
Ice sheet:  a dome-shaped mass of glacier ice that covers surrounding terrain and is greater than 50,000 square kilometers (12 million acres), the Greenland and Antarctic ice sheets) 
Ice Shelves: ice sheet attached to land, extends over sea, floats on water 
Ice stream:  (1) a current of ice in an ice sheet or ice cap that flows faster than the surrounding ice (2) sometimes refers to the confluent sections of a branched-valley glacier (3) obsolete synonym of valley glaciers 
Ice Tongue:  a long and narrow sheet of ice projecting out from the coastline to the ocean.  
Ice-cemented glacier:  a rock glacier that has interstitial ice a meter or so below the surface 
Ice-cored glacier:  a rock glacier that has a buried core of ice
Icefall:  part of a glacier with rapid flow and a chaotic crevassed surface; occurs where the glacier bed steepens or narrows 
Ice field:  a mass of glacier ice; similar to an ice cap, and usually smaller and lacking a dome-like shape; somewhat controlled by terrain 
Interglacial:  A period of time between two glaciations  
Jokulhlaup:  (1) a large outburst flood that usually occurs when a glacially dammed lake drains catastrophically (2) any catastrophic release of water from a glacier 
Kame an irregularly shaped hill or mound composed of sand, gravel and till that accumulates in a depression on a retreating glacier, and is then deposited on the land surface with further melting of the glacier.  
Kettle Hole:  A circular depression in the ground made when a block of ice calves off the toe of a glacier, becomes buried by till, and later melts.  
Kettles:  irregular till thickness and depressions where large blocks of ice melted within the till  
Knife Edged Ridges/ Pointe D Peaks:  ridges between widening u-shaped glacial valleys that become narrower until they rise steeply to narrow, aretes/pointy pyramids 
Lateral moraine:  a ridge-shaped moraine deposited at the side of a glacier and composed of material eroded from the valley walls by the moving glacier 
Laurentide Ice Sheet: The continental glacier that covered eastern Canada and parts of the northeastern United States during the Pleistocene Epoch  
Leeward Side: Side of a natural or man made elements that does not receive wind  
Loess:  wind-blown silt deposits blown away from the floodplains and bars of the outwash streams that built up as sand dunes and a frosting of fine silt  
Luis Agassiz:  Proposed that ice ages occurred in the past   
Marginal crevasse:  a crevasse near the side of a glacier formed as the glacier moves past stationary valley walls; usually oriented about 45 degrees up-glacier from the side wall 
Mass Balance:  the difference between accumulation levels and ablation  
Medial moraine:  a ridge-shaped moraine in the middle of a glacier originating from a rock outcrop, nunatak, or the converging lateral moraines of two or more ice streams 
Meltwater conduit:  a channel within, underneath, on top of, or near the side of a glacier that drains meltwater out of the glacier; usually kept open by the frictional heating of flowing water that melts the ice walls of the conduit 
Moraine:  a mound, ridge, or other distinct accumulation of glacial till 
Moraine shoal:  glacial moraine that has formed a shallow place in water 
Moulin:  a nearly vertical channel in ice that is formed by flowing water; usually found after a relatively flat section of glacier in a region of transverse crevasses; also called a pothole 
Mountain glacier:  a glacier that is confined by surrounding mountain terrain; also called an alpine glacier 
Negative mill:  a geyser; a fountain that develops when water from a conduit is forced up to the surface of a glacier 
Niche glacier:  very small glacier that occupies gullies and hollows on north-facing slopes (northern hemisphere); may develop into cirque glacier if conditions are favorable 
Nunatak:  a rocky crag or small mountain projecting from and surrounded by a glacier or ice sheet 
Ogives:  alternate bands of light and dark ice seen on a glacier surface; Dark= summer, Light=winter. They kind of bend towards the middle. {indicates the middle of the glacier flows faster than the sides 
Outburst flood:  any catastrophic flooding from a glacier; may originate from trapped water in cavities inside a glacier or at the margins of glaciers or from lakes that are dammed by flowing glaciers 
Outlet glacier:  a valley glacier which drains an inland ice sheet or ice cap and flows through a gap in peripheral mountains 
Outwash Plain:  Formed when sand is eroded, transported and deposited by meltwater streams from the glaciers snout and nearby till deposits to areas in front of the glacier.  
Patterned grounds:  consists of mostly symmetrical geometries displayed across the ground surface in relation to local frost action and cryogenic processes. Patterns emerge as a result of surface disturbances caused by thermal anomalies and freeze processes such as frost heave. Frost heave will disturb the frost layer as ice lenses accumulate and protrude, causing unstable soil conditions. Can be polygons, circles, stripes, nets, and steps.  
Paternoster lakes:  a series of tarns connected by a single stream or a braided stream system 
Periglacial:  relating to or denoting an area adjacent to a glacier or ice sheet or otherwise subject to repeated freezing and thawing          
Piedmont glacier:  large ice lobe spread out over surrounding terrain, associated with the terminus of a large mountain valley glacier 
Pingo:  also called hydrolaccolith or bulgunniakh, is a mound of earth-covered ice found in the Arctic and subarctic that can reach up to 70 metres in height and up to 600 m in diameter.         
Plastic Zone:  place where cracks cannot form in the glacier  
Plastic Flow:  slow movement of a glacier in which ice crystals slip over each other  
Plastic Deformation:  When a sufficient load is applied to a material, it will cause the material to change shape. Ice deforms below 60 m, grains within the formation change shape slowly, new grains grow where old ones disappear. This allows the glacier to move.  
Plucking the glacier freezing onto masses of rock, and glacier flow causing this mass being pulled and broken off, and carried by the glacier  
Plestocene:  1.8 million years ago to 11,000 years ago. The Last Ice Age.   
Pluvial Processes:  Glaciers moving sediment because of the water in, on and under the glacier  
Pluvial Lake:  A lake formed to the south of a continental glacier as a result of enhanced rainfall during an ice age. (Example: Lake Bonneville in Utah)  
Polar glacier:  a glacier entirely below freezing, except possibly for a thin layer of melt near the surface during summer or near the bed; polar glaciers are found only in polar regions of the globe or at high altitudes 
Pothole:  a nearly vertical channel in ice that is formed by flowing water; usually found after a relatively flat section of glacier in a region of transverse crevasses; also called a moulin 
Push moraine:  moraine built out ahead of an advancing glacier 
Quarternary:  geologic period of the late Cenozoic c. two million years ago to the present. The name refers to the fourth interval of earth time, according to early geologists.   
Randkluft:  a fissure that separates a moving glacier from its headwall rock; like a bergschrund 
Reconstituted glacier:  a glacier that is reconstructed or reconstituted out of other glacier material; usually formed by seracs falling from a hanging glacier then re-adhering; also called reconstructed glacier, regenerated glacier, or glacier remainie 
Reconstructed glacier:  a glacier that is reconstructed or reconstituted out of other glacier material; usually formed by seracs falling from a hanging glacier then re-adhering; also called reconstituted glacier, regenerated glacier, or glacier remainie 
Rcessional Moraine:  Terminal moraine after it has come back and moved forward again. 
Regelation:  motion of an object through ice by melting and freezing that is caused by pressure differences; this process allows a glacier to slide past small obstacles on its bed  
Regenerated glacier:  a glacier that is reconstructed or reconstituted out of other glacier material; usually formed by seracs falling from a hanging glacier then re-adhering; also called reconstituted or reconstructed glacier, or glacier remainie 
Retreat:  when a mountain glacier's terminus doesn't extend as far downvalley as it previously did; occurs when ablation surpasses accumulation 
Retreating glacier:  a glacier whose terminus is increasingly retreating upvalley compared to its previous position due to a higher level of ablation compared to accumulation 
Ribbon Lake Long, thin lakes that form after a glacier retreats that form in hollows  
Rock flour:  a fine powder of silt- and clay-sized particles that a glacier creates as its rock-laden ice scrapes over bedrock; usually flushed out in meltwater streams, causing water to look powdery gray; lakes and oceans that fill with glacier flour may develop a banded appearance 
Rock glacier:  looks like a mountain glacier and has active flow; usually includes a poorly sorted mess of rocks and fine material; may include: (1) interstitial ice a meter or so below the surface (“ice-cemented”), (2) a buried core of ice (“ice-cored”), and/or (3) rock debris from avalanching snow and rock 
Roche Mountain:  Rock drumlin. 
Rogen Moraine: (also called ribbed moraine) is a subglacially (i.e. under a glacier or ice sheet) formed type of moraine landform, that mainly occurs in Fennoscandia, Scotland, Ireland and Canada. Landform assemblage of numerous, parallel, closely-spaced ridges consisting of glacial drift, usually TILL. The ridges are formed transverse to ice flow in a subglacial position and are usually found in the central portions of former ice sheets. believed to have been the central areas of the ice sheets. Formation linked closely to Drumlins.  
Sastrugi:  parallel wave-like ridges caused by winds on the surface of hard snow, especially in polar regions.  
Sedimentary ogives:  alternating bands of light and dark at the firn limit of a glacier; the light bands are usually young and lightest at the highest level up-glacier, becoming increasingly older and darker as they progress down-glacier 
Serac:  an isolated block of ice that is formed where the glacier surface is fractured 
Sichelwannen- curved grooves formed by water under immense pressure at the base of a glacier  
Sintering:  the bonding together of ice crystals 
Snowdrift glacier:  a semipermanent mass of firn formed by drifted snow behind obstructions or in the ground; also called a catchment glacier or a drift glacier 
Snowline:  The end of the zone of accumulation and start of the zone of melting  
Splay crevasse:  a crevasse pattern that forms where ice slowly spreads out sideways; commonly found near a glacier terminus 
Stratified Drift:  Sediment laid down by glaial meltwater (lasagna)  
Sub polar glacier:  a glacier whose temperature regime is between polar and temperate; usually predominantly below freezing, but could experience extensive summer melt 
Sun cup: Ablation hollow that develops, during intense sunshine. 
Surging glacier:  a glacier that experiences a dramatic increase in flow rate, 10 to 100 times faster than its normal rate; usually surge events last less than one year and occur periodically, between 15 and 100 years 
Surges:  in the summer months when the glacier is melting there will be quick sunspots  
Tarn:  a small mountain lake or pool; a mountain lake formed in a cirque excavated by a glacier. A moraine may form a natural dam below a tarn 
Terminus:  the lowest end of a glacier, also called the glacier toe or glacier snout 
Thomson crystal:  a large ice crystal found in deep, stagnant water-filled cavities of a glacier 
Tidewater glacier:  mountain glacier that terminates in the ocean 
Till:  The sediments deposited directly by a glacier;  
Tor:  A high rock, a high rocky hill, or pile of rocks. 
Tongue:  a projection of the ice edge up to several km in length caused by wind and current; usually forms when a valley glacier moves very quickly into a lake or ocean
Tributary glacier:  a small glacier that flows into a larger glacier 
Valley glacier:  a mountain glacier whose flow is confined by valley walls 
Varve:  A pair of thin layers deposited during a single year in a lake. One layer consists of silt brought in during spring floods and the other of clay deposited in winter when the lake's surface freezes over and the water is still.
Whaleback:  similar to a roche moutonnée, but on a larger scale.
Wave ogives:  ogives that show some vertical relief on a glacier; usually the dark bands are in the hollows and the light bands are in the ridges; form at the base of steep, narrow ice falls 
Weathered ice:  glacier ice that has been exposed to sun or warm wind so that the boundaries between ice crystals are partly disintegrated
Wet Bottom Glacier:  A glacier with a thin layer of water at its base, over which the glacier slides, also called a temperate glacier. Occur in regions where atmospheric temperatures become warm enough for glacial ice to be at or near its melting point.  
Zone of Accumulation:  In the upper part of the glacier where there is more accumulation than ablation  
Zone of Ablation In the lower part of a glacier where there is more ablation than accumulation  
Zone of Wastage:  below the snow line, where snow melting exceeds snow accumulation
